Skelbimo pavadinimas,Rajonas,Kambarių skaičius,Nuomos kaina,Plotas,Metai
4 kambarių butas Vilniuje,Naujamiestyje,4 ,900€,97.00 ,1960
3 kambarių butas Vilniuje,Žirmūnuose,3 ,500€,60.00 ,1965
2 kambarių butas Vilniuje,Senamiestyje,2 ,850€,65.00 ,1940
2 kambarių butas Vilniuje,Bajoruose,2 ,650€,45.00 ,2015
3 kambarių butas Vilniuje,Žvėryne,3 ,1800€,103.00 ,2009
2 kambarių butas Vilniuje,Senamiestyje,2 ,750€,50.00 ,1940
3 kambarių butas Vilniuje,Šnipiškėse,3 ,550€,58.00 ,1971
5 kambarių butas Vilniuje,Užupyje,5 ,2300€,100.00 ,2020
4 kambarių butas Vilniuje,Senamiestyje,4 ,1300€,120.00 ,1940
3 kambarių butas Vilniuje,Karoliniškėse,3 ,1300€,90.00 ,2007
2 kambarių butas Vilniuje,Senamiestyje,2 ,650€,50.00 ,1940
1 kambario butas Vilniuje,Žirmūnuose,1 ,500€,29.00 ,1965
2 kambarių butas Vilniuje,Naujamiestyje,2 ,950€,50.00 ,2005
2 kambarių butas Vilniuje,Visoriuose,2 ,900€,64.00 ,2017
1 kambario butas Vilniuje,Užupyje,1 ,700€,35.00 ,2019
1 kambario butas Vilniuje,Šnipiškėse,1 ,390€,20.00 ,1974
2 kambarių butas Vilniuje,Fabijoniškėse,2 ,600€,51.00 ,1985
2 kambarių butas Vilniuje,Senamiestyje,2 ,1150€,50.00 ,2021
2 kambarių butas Vilniuje,Senamiestyje,2 ,840€,60.93 ,0000
3 kambarių butas Vilniuje,Markučiuose,3 ,1300€,79.00 ,2019
2 kambarių butas Vilniuje,Antakalnyje,2 ,450€,46.00 ,1964
2 kambarių butas Vilniuje,Šnipiškėse,2 ,600€,51.00 ,1940
2 kambarių butas Vilniuje,Lazdynėliuose,2 ,700€,51.00 ,2018
3 kambarių butas Vilniuje,Bajoruose,3 ,670€,58.00 ,2003
1 kambario butas Vilniuje,Žirmūnuose,1 ,400€,33.00 ,2021
2 kambarių butas Vilniuje,Antakalnyje,2 ,600€,46.00 ,1964
1 kambario butas Vilniuje,Šeškinėje,1 ,450€,40.00 ,1980
1 kambario butas Vilniuje,Naujamiestyje,1 ,400€,20.00 ,1962
2 kambarių butas Vilniuje,Viršuliškėse,2 ,530€,47.00 ,2002
2 kambarių butas Vilniuje,Antakalnyje,2 ,650€,65.00 ,2006
2 kambarių butas Vilniuje,Žvėryne,2 ,830€,56.31 ,2013
2 kambarių butas Vilniuje,Lazdynuose,2 ,550€,47.00 ,1997
3 kambarių butas Vilniuje,Žirmūnuose,3 ,1500€,57.00 ,2022
4 kambarių butas Vilniuje,Naujamiestyje,4 ,1000€,100.00 ,2000
2 kambarių butas Vilniuje,Šnipiškėse,2 ,700€,65.00 ,2005
3 kambarių butas Vilniuje,Senamiestyje,3 ,1100€,73.00 ,2012
2 kambarių butas Vilniuje,Pašilaičiuose,2 ,430€,50.00 ,1986
3 kambarių butas Vilniuje,Pašilaičiuose,3 ,650€,67.00 ,1987
1 kambario butas Vilniuje,Senamiestyje,1 ,400€,40.00 ,1940
2 kambarių butas Vilniuje,Žvėryne,2 ,750€,46.00 ,2020
2 kambarių butas Vilniuje,Šnipiškėse,2 ,990€,82.35 ,2004
3 kambarių butas Vilniuje,Žvėryne,3 ,1200€,73.00 ,1997
3 kambarių butas Vilniuje,Pašilaičiuose,3 ,420€,66.00 ,1986
2 kambarių butas Vilniuje,Naujamiestyje,2 ,950€,65.00 ,2006
5 kambarių butas Vilniuje,Žirmūnuose,5 ,2600€,118.00 ,2018
3 kambarių butas Vilniuje,Senamiestyje,3 ,1000€,78.00 ,2003
1 kambario butas Vilniuje,Naujoji Vilnia,1 ,280€,20.73 ,1990
2 kambarių butas Vilniuje,Karoliniškėse,2 ,550€,49.00 ,1974
1 kambario butas Vilniuje,Žemieji Paneriai,1 ,450€,36.00 ,1989
1 kambario butas Vilniuje,Naujamiestyje,1 ,650€,35.00 ,2022
2 kambarių butas Vilniuje,Antakalnyje,2 ,680€,46.12 ,1962
2 kambarių butas Vilniuje,Antakalnyje,2 ,650€,54.00 ,1980
2 kambarių butas Vilniuje,Šnipiškėse,2 ,1000€,44.00 ,2019
2 kambarių butas Vilniuje,Senamiestyje,2 ,700€,45.00 ,0000
3 kambarių butas Vilniuje,Pašilaičiuose,3 ,1050€,102.00 ,2022
3 kambarių butas Vilniuje,Naujamiestyje,3 ,2100€,92.00 ,2007
2 kambarių butas Vilniuje,Senamiestyje,2 ,900€,50.00 ,1956
2 kambarių butas Vilniuje,Senamiestyje,2 ,800€,45.00 ,1940
2 kambarių butas Vilniuje,Senamiestyje,2 ,1000€,65.00 ,1940
3 kambarių butas Vilniuje,Žvėryne,3 ,1400€,96.00 ,1938
3 kambarių butas Vilniuje,Žvėryne,3 ,1900€,153.97 ,2008
5 kambarių butas Vilniuje,Senamiestyje,5 ,1500€,167.00 ,1940
2 kambarių butas Vilniuje,Viršuliškėse,2 ,30€,50.00 ,0000
4 kambarių butas Vilniuje,Senamiestyje,4 ,1450€,110.00 ,1940
1 kambario butas Vilniuje,Naujamiestyje,1 ,450€,20.00 ,0000
3 kambarių butas Vilniuje,Užupyje,3 ,1500€,83.00 ,2022
2 kambarių butas Vilniuje,Senamiestyje,2 ,850€,47.00 ,2022
2 kambarių butas Vilniuje,Senamiestyje,2 ,1400€,69.25 ,1940
2 kambarių butas Vilniuje,Senamiestyje,2 ,900€,38.57 ,1940
2 kambarių butas Vilniuje,Fabijoniškėse,2 ,500€,50.00 ,1990
1 kambario butas Vilniuje,Senamiestyje,1 ,550€,25.00 ,1940
4 kambarių butas Vilniuje,Naujamiestyje,4 ,1900€,148.00 ,2012
1 kambario butas Vilniuje,Pašilaičiuose,1 ,220€,17.00 ,1986
1 kambario butas Vilniuje,Senamiestyje,1 ,700€,31.00 ,2022
2 kambarių butas Vilniuje,Senamiestyje,2 ,1200€,56.00 ,2007
3 kambarių butas Vilniuje,Fabijoniškėse,3 ,600€,65.00 ,1991
2 kambarių butas Vilniuje,Senamiestyje,2 ,900€,45.00 ,2020
2 kambarių butas Vilniuje,Burbiškių g.,2 ,800€,52.12 ,2021
2 kambarių butas Vilniuje,Senamiestyje,2 ,650€,52.00 ,1940
4 kambarių butas Vilniuje,Užupyje,4 ,2000€,185.00 ,2000
3 kambarių butas Vilniuje,Senamiestyje,3 ,1350€,59.00 ,1940
4 kambarių butas Vilniuje,Senamiestyje,4 ,4000€,185.00 ,2000
2 kambarių butas Vilniuje,Senamiestyje,2 ,800€,69.00 ,1914
2 kambarių butas Vilniuje,Senamiestyje,2 ,850€,48.50 ,1940
3 kambarių butas Vilniuje,Senamiestyje,3 ,1200€,77.04 ,1940
3 kambarių butas Vilniuje,Senamiestyje,3 ,1200€,65.25 ,2016
4 kambarių butas Vilniuje,Senamiestyje,4 ,3000€,136.00 ,2010
2 kambarių butas Vilniuje,Šnipiškėse,2 ,950€,50.00 ,2016
3 kambarių butas Vilniuje,Senamiestyje,3 ,1000€,80.00 ,1970
2 kambarių butas Vilniuje,Senamiestyje,2 ,800€,30.00 ,1940
2 kambarių butas Vilniuje,Fabijoniškėse,2 ,500€,50.00 ,2000
1 kambario butas Vilniuje,Naujamiestyje,1 ,800€,91.00 ,1940
4 kambarių butas Vilniuje,Šnipiškėse,4 ,1500€,125.05 ,2003
3 kambarių butas Vilniuje,Naujoji Vilnia,3 ,450€,70.00 ,1986
2 kambarių butas Vilniuje,Zujūnuose,2 ,500€,55.00 ,2000
1 kambario butas Vilniuje,Senamiestyje,1 ,750€,46.00 ,2021
1 kambario butas Vilniuje,Naujamiestyje,1 ,400€,21.00 ,1940
1 kambario butas Vilniuje,Šnipiškėse,1 ,350€,33.00 ,1976
3 kambarių butas Vilniuje,Šiaurės miestelis,3 ,1000€,84.00 ,2009
1 kambario butas Vilniuje,Žvėryne,1 ,399€,15.00 ,1956
1 kambario butas Vilniuje,Žirmūnuose,1 ,480€,32.75 ,1967
2 kambarių butas Vilniuje,Buivydiškėse,2 ,700€,43.00 ,2022
2 kambarių butas Vilniuje,Pilaitėje,2 ,650€,36.92 ,2018
3 kambarių butas Vilniuje,Senamiestyje,3 ,1190€,50.00 ,2018
2 kambarių butas Vilniuje,Dvarčionyse,2 ,450€,60.00 ,2000
2 kambarių butas Vilniuje,Fabijoniškėse,2 ,500€,65.00 ,2004
3 kambarių butas Vilniuje,Justiniškėse,3 ,550€,64.00 ,1984
3 kambarių butas Vilniuje,Senamiestyje,3 ,1100€,60.00 ,1940
2 kambarių butas Vilniuje,Markučiuose,2 ,850€,47.00 ,2022
2 kambarių butas Vilniuje,Senamiestyje,2 ,900€,45.82 ,2018
2 kambarių butas Vilniuje,Žirmūnuose,2 ,1000€,51.15 ,2019
2 kambarių butas Vilniuje,Žvėryne,2 ,950€,45.00 ,2022
2 kambarių butas Vilniuje,Antakalnyje,2 ,800€,54.00 ,2016
3 kambarių butas Vilniuje,Naujamiestyje,3 ,500€,69.00 ,2014
1 kambario butas Vilniuje,Fabijoniškėse,1 ,480€,35.00 ,2006
3 kambarių butas Vilniuje,Baltupiuose,3 ,750€,54.00 ,2015
3 kambarių butas Vilniuje,Senamiestyje,3 ,1500€,102.26 ,2007
3 kambarių butas Vilniuje,Viršuliškėse,3 ,600€,64.00 ,1977
2 kambarių butas Vilniuje,Senamiestyje,2 ,900€,74.00 ,1940
1 kambario butas Vilniuje,Naujamiestyje,1 ,450€,36.00 ,1956
4 kambarių butas Vilniuje,Senamiestyje,4 ,1800€,112.00 ,2006
2 kambarių butas Vilniuje,Viršuliškėse,2 ,700€,44.00 ,2022
3 kambarių butas Vilniuje,Senamiestyje,3 ,1150€,65.00 ,2017
3 kambarių butas Vilniuje,Antakalnyje,3 ,1000€,73.00 ,2017
3 kambarių butas Vilniuje,Senamiestyje,3 ,1400€,80.00 ,2014
1 kambario butas Vilniuje,Senamiestyje,1 ,560€,23.00 ,2016
4 kambarių butas Vilniuje,Senamiestyje,4 ,1950€,131.00 ,1940
3 kambarių butas Vilniuje,Senamiestyje,3 ,1250€,82.00 ,2000
1 kambario butas Vilniuje,Žemieji Paneriai,1 ,350€,36.00 ,1989
2 kambarių butas Vilnius,Vilniuje,2 ,600€,44.00 ,1940
1 kambario butas Vilniuje,Fabijoniškėse,1 ,450€,40.00 ,1998
3 kambarių butas Vilniuje,Žvėryne,3 ,1750€,89.00 ,2005
3 kambarių butas Vilniuje,Šeškinėje,3 ,700€,65.00 ,1979
2 kambarių butas Vilniuje,Užupyje,2 ,650€,43.95 ,1940
2 kambarių butas Vilniuje,Senamiestyje,2 ,800€,40.00 ,1940
2 kambarių butas Vilniuje,Aukštieji Paneriai,2 ,350€,53.00 ,0000
1 kambario butas Vilniuje,Žirmūnuose,1 ,310€,15.00 ,1989
2 kambarių butas Vilniuje,Antakalnyje,2 ,450€,45.00 ,1962
3 kambarių butas Vilniuje,Senamiestyje,3 ,900€,54.45 ,1940
5 kambarių butas Vilniuje,Verkiuose,5 ,2000€,142.00 ,2007
3 kambarių butas Vilniuje,Lazdynėliuose,3 ,800€,87.77 ,2007
3 kambarių butas Vilniuje,Šiaurės miestelis,3 ,1400€,130.13 ,2007
1 kambario butas Vilniuje,Centre,1 ,520€,38.00 ,0000
2 kambarių butas Vilniuje,Naujamiestyje,2 ,950€,50.80 ,2020
3 kambarių butas Vilniuje,Senamiestyje,3 ,950€,74.00 ,1940
1 kambario butas Vilniuje,Senamiestyje,1 ,490€,55.00 ,0000
2 kambarių butas Vilniuje,Senamiestyje,2 ,620€,40.00 ,1940
3 kambarių butas Vilniuje,Senamiestyje,3 ,1300€,70.90 ,2020
2 kambarių butas Vilniuje,Viršuliškėse,2 ,600€,37.00 ,2021
2 kambarių butas Vilnius,Vilniuje,2 ,900€,60.46 ,2014
2 kambarių butas Vilniuje,Žvėryne,2 ,630€,48.00 ,1940
3 kambarių butas Vilniuje,Žvėryne,3 ,1500€,98.00 ,2008
2 kambarių butas Vilniuje,Viršuliškėse,2 ,550€,24.00 ,2021
2 kambarių butas Vilniuje,Senamiestyje,2 ,1150€,41.00 ,1940
2 kambarių butas Vilniuje,Užupyje,2 ,1100€,55.00 ,2021
3 kambarių butas Vilniuje,Fabijoniškėse,3 ,700€,86.00 ,0000
1 kambario butas Vilniuje,Pilaitėje,1 ,480€,36.00 ,1992
2 kambarių butas Vilniuje,Senamiestyje,2 ,850€,61.00 ,2005
4 kambarių butas Vilniuje,Naujininkuose,4 ,1100€,130.00 ,1940
3 kambarių butas Vilniuje,Žemieji Paneriai,3 ,600€,71.00 ,2000
2 kambarių butas Vilniuje,Naujamiestyje,2 ,690€,65.00 ,2009
4 kambarių butas Vilniuje,Senamiestyje,4 ,2000€,96.00 ,2009
2 kambarių butas Vilniuje,Senamiestyje,2 ,1000€,53.00 ,2004
3 kambarių butas Vilniuje,Senamiestyje,3 ,2200€,90.00 ,1940
2 kambarių butas Vilniuje,Senamiestyje,2 ,950€,42.04 ,2020
3 kambarių butas Vilniuje,Senamiestyje,3 ,1500€,100.00 ,1940
1 kambario butas Vilniuje,Naujamiestyje,1 ,700€,60.00 ,1895
2 kambarių butas Vilniuje,Naujamiestyje,2 ,850€,46.00 ,2018
2 kambarių butas Vilniuje,Senamiestyje,2 ,1300€,61.00 ,2021
3 kambarių butas Vilniuje,Senamiestyje,3 ,1400€,100.00 ,1940
1 kambario butas Vilniuje,Naujamiestyje,1 ,660€,17.00 ,0000
1 kambario butas Vilniuje,Centre,1 ,830€,31.00 ,2022
2 kambarių butas Vilniuje,Centre,2 ,850€,33.00 ,0000
2 kambarių butas Vilniuje,Centre,2 ,880€,38.00 ,0000
2 kambarių butas Vilniuje,Centre,2 ,930€,48.00 ,2022
1 kambario butas Vilniuje,Centre,1 ,590€,14.00 ,0000
1 kambario butas Vilniuje,Centre,1 ,660€,15.00 ,0000
2 kambarių butas Vilniuje,Centre,2 ,730€,27.00 ,0000
2 kambarių butas Vilniuje,Naujamiestyje,2 ,950€,64.40 ,1940
3 kambarių butas Vilniuje,Antakalnyje,3 ,1200€,102.86 ,1999
3 kambarių butas Vilniuje,Senamiestyje,3 ,1500€,125.00 ,1940
1 kambario butas Vilniuje,Fabijoniškėse,1 ,350€,35.00 ,1990
